flags,utterance,category,intent
BM,I have problems with canceling an order,ORDER,cancel_order
BIM,how can I find information about canceling orders?,ORDER,cancel_order
B,I need help with canceling the last order,ORDER,cancel_order
BIP,could you help me cancelling the last order I made?,ORDER,cancel_order
B,problem with cancelling an order I made,ORDER,cancel_order
BI,can you help me canceling my last order?,ORDER,cancel_order
BE,I do not know how to cancel the last order I have made,ORDER,cancel_order
BM,problems with canceling my orders,ORDER,cancel_order
BM,I have problems with cancelling the last order I have made,ORDER,cancel_order
BIMP,could you give me information about order cancellations?,ORDER,cancel_order
B,I need help canceling the last order I have made,ORDER,cancel_order
B,I need help with cancelling the order I made,ORDER,cancel_order
BE,I do not want the order,ORDER,cancel_order
BIP,how could I find information about cancelling an order?,ORDER,cancel_order
BIMP,would you give me information about order cancellations?,ORDER,cancel_order
BM,I have problems with cancelling my order,ORDER,cancel_order
BI,how to cancel an order?,ORDER,cancel_order
BM,I have problems with cancelling an order I have made,ORDER,cancel_order
B,assistance with cancelling the order I made,ORDER,cancel_order
BI,can you give me information about canceling an order?,ORDER,cancel_order
BM,problems with canceling orders,ORDER,cancel_order
BE,I do not know how I can cancel the last order I made,ORDER,cancel_order
BP,I would like to cancel the order I made,ORDER,cancel_order
B,I need help canceling an order,ORDER,cancel_order
BIP,how could I get information about cancelling an order?,ORDER,cancel_order
B,I need help cancelling an order I made,ORDER,cancel_order
BM,I have problems with cancelling orders,ORDER,cancel_order
B,I have a question about canceling an order,ORDER,cancel_order
BM,problem with cancelling orders,ORDER,cancel_order
BM,problems with cancelling an order,ORDER,cancel_order
BIP,how could I cancel an order?,ORDER,cancel_order
BIMP,where could I get information about order cancellations?,ORDER,cancel_order
B,I can't pay for the order,ORDER,cancel_order
B,I need assistance cancelling an order I made,ORDER,cancel_order
BEM,I am trying to find information about order cancelations,ORDER,cancel_order
B,I want help cancelling an order I have made,ORDER,cancel_order
B,I need help with cancelling an order I have made,ORDER,cancel_order
BI,where to cancel an order I made?,ORDER,cancel_order
BI,is it possible to cancel my order?,ORDER,cancel_order
BIM,where can I get information about canceling orders?,ORDER,cancel_order
B,assistance cancelling an order I have made,ORDER,cancel_order
B,assistance canceling the order I have made,ORDER,cancel_order
B,I want to cancel the order I made,ORDER,cancel_order
BE,I do not know how I can cancel the order I made,ORDER,cancel_order
B,help me to cancel an order I have made,ORDER,cancel_order
BP,I don't know how I could cancel the order I made,ORDER,cancel_order
BI,is it possible to cancel the order I have made?,ORDER,cancel_order
BIMP,would you give me information about canceling orders?,ORDER,cancel_order
B,I have a problem with canceling the order I have made,ORDER,cancel_order
B,I need help to cancel the order I made,ORDER,cancel_order
B,I need help to cancel the last order I have made,ORDER,cancel_order
B,I can't pay for the last order I have made,ORDER,cancel_order
BP,I would like to cancel my last order,ORDER,cancel_order
BI,where can I cancel my order?,ORDER,cancel_order
B,help me canceling my order,ORDER,cancel_order
B,question about canceling my order,ORDER,cancel_order
B,question about canceling an order,ORDER,cancel_order
B,problem with canceling the order I have made,ORDER,cancel_order
BIP,could you help me cancelling an order I made?,ORDER,cancel_order
B,question about canceling the last order I made,ORDER,cancel_order
BM,I want to know more about order cancelations,ORDER,cancel_order
BIP,could you help me to cancel an order?,ORDER,cancel_order
